Establishment ID,Name,Address,Zip Code,Owner,License Number,License Type,Most Recent License Date,Establishment Type,Status,Restaurant Complexity Level,Review Frequency in Days,Location
352,Lon's Coney Island,17501 W Seven Mile Rd,48235,Fabijan Jakaj,034064,Fixed Establishment,05/07/2018,Food Service Establishment,Open,High,180,"location
(42.42994, -83.21521)"
527,Lon's Ham and Corned Beef,13600 Chicago Ave W,48228,Lon Merdita,075041,Fixed Establishment,05/01/2018,Food Service Establishment,Open,High,180,"location
(42.36595, -83.17796)"
51622742,Lorent Coney Island,601 S Schaefer Rd,48217,Gentiana Shabani ,229384,Fixed Establishment,,Food Service Establishment,Open,High,180,"location
(42.28511, -83.16282)"
5355,Los Chapos Restaurante Mexicano,17805 W Seven Mile Rd,48235,Ellis J Mendenhall,220250,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.42998, -83.2183)"
370,Los Compadres,1132 Lawndale St,48209,Guadalupe Macias,066068,Fixed Establishment,04/17/2015,Food Service Establishment,Open,Medium,365,"location
(42.30124, -83.12676)"
3095,Los Corrales,2244 Junction Ave,48209,Jose Luis Aquire,076391,Fixed Establishment,04/13/2016,Food Service Establishment,Open,,180,"location
(42.32086, -83.10372)"
3288,Los Dos Amigos-1,7115 Parkwood St,4821,Miguel A. Guardado,037684,Mobile Food Establishment,04/24/2018,LHD - Mobile Food Establishmen,Open,,395,"location
(42.32784, -83.12978)"
4908,Los Dos Amigo's 2,7115 Parkwood St,4821,Guardado,218-336,Mobile Food Establishment,,LHD - Mobile Food Establishmen,Open,,395,"location
(42.32784, -83.12978)"
1386,Los Galanes,3354 Bagley Ave,48216,DOS MAS GALANES CORP.,035537,Fixed Establishment,04/17/2015,Food Service Establishment,Open,,180,"location
(42.32359, -83.08467)"
51622760,Lost River,15421 Mack Ave,48224,Rum Capital LLC,229220,Fixed Establishment,05/17/2018,Food Service Establishment,Open,,365,"location
(42.38848, -82.94233)"
669,Lotus Gardens,12832 W Seven Mile Rd,48235,Wongs King Inc.,034605,Fixed Establishment,04/30/2018,Food Service Establishment,Open,High,180,"location
(42.43148, -83.17258)"
602,Louie's Cocktail Lounge,8053 Grand River Ave,48204,Ella M. Hendrix,034489,Fixed Establishment,,Food Service Establishment,Open,,365,"location
(42.35965, -83.11662)"
2265,Louie's Ham & Corn Beef,16661 Harper Ave,48224,Pashno & Preta Dedvunaz,042576,Fixed Establishment,04/28/2017,Food Service Establishment,Open,,380,"location
(42.41411, -82.94056)"
2779,Louie's Ham & Corned Beef,3570 Riopelle St,48207,Mark & Martin Gojcaj,050840,Fixed Establishment,05/07/2018,Food Service Establishment,Open,High,180,"location
(42.35317, -83.04241)"
